 Sirius Chiron 8 Feb 2021 100 exposures
 Wavelength    Intensity
  5271.5800     0.996546
  5271.6000     0.997049
  5271.6200     0.998967
  5271.6400     0.997494
  5271.6600     0.997494
  5271.6800     0.997289
  5271.7000     0.998237
  5271.7200     0.996341
  5271.7400     0.996923
  5271.7600     0.997803
  5271.7800     0.997072
  5271.8000     0.995599
  5271.8200     0.994297
  5271.8400     0.996775
  5271.8600     0.994091
  5271.8800     0.995530
  5271.9000     0.994057
  5271.9200     0.994228
  5271.9400     0.995153
  5271.9600     0.995679
  5271.9800     0.994457
  5272.0000     0.994742
  5272.0200     0.996227
  5272.0400     0.996455
  5272.0600     0.997780
  5272.0800     1.001708
  5272.1000     0.999630
  5272.1200     0.998271
  5272.1400     0.996935
  5272.1600     0.994263
  5272.1800     0.987936
  5272.2000     0.981518
  5272.2200     0.975329
  5272.2400     0.968317
  5272.2600     0.960632
  5272.2800     0.954191
  5272.3000     0.947317
  5272.3200     0.941904
  5272.3400     0.938455
  5272.3600     0.935075
  5272.3800     0.931957
  5272.4000     0.930005
  5272.4200     0.929068
  5272.4400     0.928440
  5272.4600     0.927595
  5272.4800     0.928155
  5272.5000     0.927949
  5272.5200     0.928406
  5272.5400     0.929594
  5272.5600     0.933259
  5272.5800     0.935612
  5272.6000     0.939175
  5272.6200     0.942966
  5272.6400     0.945307
  5272.6600     0.950948
  5272.6800     0.957115
  5272.7000     0.964069
  5272.7200     0.970453
  5272.7400     0.976859
  5272.7600     0.985549
  5272.7800     0.991887
  5272.8000     0.997072
  5272.8200     0.998396
  5272.8400     1.001286
  5272.8600     1.000121
  5272.8800     0.999584
  5272.9000     0.999082
  5272.9200     0.999219
  5272.9400     0.998362
  5272.9600     0.998054
  5272.9800     0.995404
  5273.0000     0.995245
  5273.0200     0.992812
  5273.0400     0.992093
  5273.0600     0.989375
  5273.0800     0.989386
  5273.1000     0.988724
  5273.1200     0.988724
  5273.1400     0.985652
  5273.1600     0.986040
  5273.1800     0.985184
  5273.2000     0.983928
  5273.2200     0.983345
  5273.2400     0.980548
  5273.2600     0.982009
  5273.2800     0.983140
  5273.3000     0.980730
  5273.3200     0.978938
  5273.3400     0.980045
  5273.3600     0.981416
  5273.3800     0.981655
  5273.4000     0.981290
  5273.4200     0.982112
